area,perimeter,height,width,r_value,g_value,b_value,index,label
235.5,3.2,269,366,201,165,59,13,2
221.5,339.7937628,269,366,217,161,110,13,2
218,356.3025936,269,366,218,171,68,14,2
201,104.9705625,269,366,204,161,68,11,2
226.5,581.2199933,269,366,210,160,70,11,2
208,3.6,269,366,203,163,60,11,2
225.5,327.6231992,269,366,200,155,112,11,2
212.5,18.37644997,269,366,217,161,68,11,2
212.5,12.29116874,269,366,217,161,68,11,2
192.5,6.828427076,269,366,200,169,97,12,2
224.5,50.98233747,269,366,212,164,72,12,2
198,8.73969686,269,366,220,155,101,13,2
209,246.0840955,269,366,202,170,59,13,2
209,362.6428831,269,366,222,169,116,12,2
212.5,17.65685415,269,366,196,175,70,14,2
215.5,230.1645,269,366,204,171,51,13,2
215.5,6.8,269,366,200,171,55,13,2
195,310.0487716,269,366,222,158,21,14,2
223,229.6958699,269,366,223,162,89,11,2
242.5,0,269,366,190,116,65,13,2
226,372.4163022,269,366,223,147,26,10,2
229.5,9.188224983,269,366,194,118,66,12,2
220,293.2605455,269,366,227,152,41,12,2
212,27.31370831,269,366,201,172,61,13,2
236,168.0292621,269,366,201,167,52,13,2
216,95.4676187,269,366,202,161,101,13,2
220,7.656854153,269,366,214,162,64,12,2
237.5,209.3645014,269,366,219,157,111,12,2
265,10.71959581,269,366,219,166,118,12,2
208.5,268.2713097,269,366,211,168,111,12,2
252,4.779898953,269,366,200,172,59,15,2
226,25.87939372,269,366,191,172,73,13,2
207.5,198.7571833,269,366,198,165,56,12,2
230.5,210.8424655,269,366,215,163,73,12,2
216,320.5742532,269,366,212,160,75,13,2
244.5,15.45096664,269,366,188,162,69,15,2
225,689.5097332,269,366,222,160,63,13,2
236.5,374.1320314,269,366,223,162,65,12,2
208.5,185.8483533,269,366,202,166,89,12,2
208.5,247.7978041,269,366,202,166,89,12,2
225,107.3803165,269,366,209,167,36,12,2
204.5,169.622363,269,366,209,170,104,12,2
223.5,312.6546573,269,366,216,166,79,14,2
226.5,0,269,366,212,166,113,13,2
202.5,0,269,366,215,157,105,12,2
216,271.3957813,269,366,221,100,68,11,2
206.5,4.779898953,269,366,215,146,93,14,2
217,0,269,366,218,161,69,12,2
205.5,267.38603,269,366,202,172,84,12,2
219.5,9.891168737,269,366,196,171,78,13,2
191.5,249.1703876,269,366,225,159,36,12,2
229.5,384.5202553,269,366,208,121,63,12,2
250,206.5395214,269,366,207,160,76,11,2
264.5,436.2554914,269,366,207,160,73,14,2
227,190.1512963,269,366,210,165,70,12,2
231.5,175.1821626,269,366,219,153,51,12,2
226,219.5634881,269,366,219,153,51,12,2
222,666.4073819,269,366,194,128,63,13,2
218,20.27939372,269,366,203,173,100,11,2
219.5,289.6723204,269,366,213,151,69,12,2
241,116.7528999,269,366,223,149,97,15,2
190,149.6223638,269,366,213,158,106,12,2
227.5,222.5527251,269,366,201,113,60,13,2
206.5,237.7791312,269,366,215,152,101,14,2
227.5,6.4,269,366,217,107,78,14,2
219.5,408.3496928,269,366,224,163,93,12,2
214.5,348.1624783,269,366,208,166,98,11,2
246,4.828427076,269,366,203,119,68,13,2
238,3.959797907,269,366,204,124,70,11,2
219,361.1275723,269,366,217,134,71,12,2
238.5,258.8840947,269,366,217,130,70,13,2
227,4.097056246,269,366,207,152,61,13,2
229,4.4,269,366,204,162,91,12,2
220,370.3746701,269,366,198,164,78,12,2
209,0,269,366,204,162,91,12,2
212,6.828427076,269,366,173,123,62,13,2
210,317.8899825,269,366,228,123,50,11,2
210.5,0,269,366,227,150,64,10,2
206,2.8,269,366,218,153,76,12,2
187,20.82842708,269,366,215,158,79,14,2
210.5,434.5015835,269,366,226,162,112,13,2
214.5,2,269,366,213,164,115,13,2
238,4,269,366,202,149,74,12,2
235,249.3174008,269,366,225,153,50,10,2
218.5,378.3746715,269,366,228,149,73,13,2
269,571.6955178,269,366,201,163,87,11,2
252,166.0617312,269,366,205,133,61,11,2
199.5,312.0903988,269,366,224,149,24,13,2
